F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,A_C,feature
1,0,0,0,0,0,0,0,0,0,0,0,0,本アプリにおける接触者の定義は、陽性者との接触に関する情報が利用者本人に通知される者として、陽性者との接触により感染のおそれがある期間に、陽性者との間で概ね1m以内の距離で継続して15分以上の近接状態が続いたものと定義する。
1,0,0,0,0,0,0,0,0,0,1,0,1,また、プライバシーの保護と潜伏期間等を考慮して、過去に遡って利用者が自らの接触の情報を確認できるのは、14日間までとする。
1,0,0,0,0,0,0,0,0,0,0,0,0,14日経過後のデータは削除する
1,0,0,0,0,0,0,0,0,0,0,0,0,BluetoothをOS上でコントロールすることで、他のアプリを利用中でも、バックグラウンドで利用可能となる
0,0,0,0,0,0,0,0,0,0,1,0,0,本アプリでは、個人のプライバシーに配慮し、名前、性別、住所、生年月日、位置情報、電話番号、メールアドレス等の特定の個人が直接識別される可能性のある情報は取得しない。
1,0,0,0,0,0,0,0,0,0,0,0,0,各端末内で全接触回数を記録し表示することを可能にする。
1,0,0,0,0,0,0,0,0,0,0,0,1,接触の記録は全て端末で管理され、陽性者との接触の照合も各自の端末内で行う。
1,0,0,0,0,0,0,0,0,0,0,0,1,通知サーバーでは、本人同意のもと、陽性者の識別子のみが管理される。
0,0,0,0,0,0,0,0,0,0,1,0,0,アプリと通知サーバーは、情報漏洩や侵入を防ぐために十分なセキュリティ上の措置を講じる。
1,0,0,0,0,0,0,0,0,0,0,0,0,本アプリは、スマートフォンのBluetoothを利用し、人と人の接触を検知、記録し、自らの行動変容を確認できるようにする。
1,0,0,0,0,0,0,0,0,0,0,0,0,陽性者であることが判明した場合、その本人の同意のもとで、その陽性者と一定期間内に接触が確認された者に対し通知を行う。
1,0,0,0,0,0,0,0,0,0,0,0,0,他者との接触についてアプリの端末に相手の識別子が記録される。
1,0,0,0,0,0,0,0,0,0,0,0,0,識別子の記録は、一定期間経過後に順次削除されていく。
1,0,0,0,0,0,0,0,0,0,0,0,0,アプリユーザーに対して、陽性者との接触歴がある場合に接触者アラートが通知され、これを確認。
1,0,0,0,0,0,0,0,0,0,0,0,0,接触が確認された者には、メッセージにより、適切な行動と帰国者・接触者相談センターへの相談方法等をガイダンスする。
1,0,0,0,0,0,0,0,0,0,0,0,0,本アプリを導入した利用者は、接触時に接触相手の交換用キーを取得し、接触者データとして自端末内に記録する。
1,0,0,0,0,0,0,0,0,0,0,0,0,交換用キーは、端末内で一定期間毎に変更される匿名化されたキーである。
1,0,0,0,0,0,0,0,0,0,0,0,0,アプリ利用者からは見えず、バックグランドで処理される
1,0,0,0,0,0,0,0,0,0,0,0,0,本アプリを導入した利用者は、日常的に本アプリの導入からの日数や日々の全接触回数を確認ができ、行動変容のための情報として活用する。
