label,feature
SE,本アプリでは、個人のプライバシーに配慮し、名前、性別、住所、生年月日、位置情報、電話番号、メールアドレス等の特定の個人が直接識別される可能性のある情報は取得しない。
SE,アプリと通知サーバーは、情報漏洩や侵入を防ぐために十分なセキュリティ上の措置を講じる。
MN,クラウドサービスを使って整備される。
US,本アプリは、操作する部分が少ないが、プライバシーなどの同意事項が多いのが特徴である。
US,アプリケーションは、誰でも直感的に操作できるよう、構築する。
LF,利用者が分かりやすい文章や図で説明するとともに、誤操作時に適切なガイダンスが出せる設計に配慮する。
LF,また、本アプリを初めて起動する際に、感染症対策全体の仕組みの中でのアプリの位置づけ、本アプリの仕組み及びプライバシー情報の取扱い等の事項について、視覚的に理解しやすい方法で概要を表示すること。
US,スマートフォンが持つ基本的操作性に可能な限り準拠する
US,日本語に加え、英語の画面を整備し、iOS又はAndroid端末のOSの言語切替機能で選択可能にする。
US,未成年者及び成年被後見人など自ら登録の判断を行うことが困難なユーザーのための代理登録を可能にする。
SC,システムは、その他のクラウドサービスを活用する。
SC,端末は、iPhoneまたはAndroid端末を対象とする。
SC,OSは、Exposure Notification APIに対応したiOSおよびAndroidを対象とする。
SC,スマートフォンの国民の個人保有率が64.7％であるので、最大で国民の６割以上が導入することを目指す想定で基盤等の拡張性を確保する。
SC,端末は、最大で過去14日分の接触に関するデータを蓄積する。
SC,サーバーには、陽性者の最大14日分の日次キーが端末から提供される。
SC,１週間単位での新規陽性者数が最大4200人とする。
PE,端末の応答は3秒以内とする。
PE,全ての端末で陽性者の日次キー等の取得をする時には、コンテンツデリバリーネットワーク等を活用し、通信回線の輻輳を避けるとともに、効率的にすべての端末がデータを取得できるようにする。
MN,接触の測定にはBluetoothを活用するが、電波干渉や障害物により正確に測定できないことがあるのでパラメータ設定に留意すること。
A,端末での稼働率は98%以上とし、サーバーの稼働率は95%以上とする
SC,処理能力の拡張が容易にできる設計にすること。
SC,機能ごとにモジュールで設計し、機能拡張時の影響範囲を最小限にとどめる設計にする。
SC,接触カウント機能、接触確認時の機能で機能拡張が検討されている。
SC,将来、海外でAGF対応のアプリが提供されたときに相互運用性の検討が行われる可能性があることに留意すること。
SC,OSが提供するAGFの機能改修に柔軟に対応できるように、APIによる接続を原則とする。
SC,いわゆるベンダーロックインの解消等による調達コストの削減、透明性向上等を図るため、市場において容易に取得できるオープンな標準的技術又は製品を用い、特定のハードウェア又はソフトウェアに依存しない仕様とする。
O,本アプリへの信頼を高めるため、開発ドキュメント等の透明性の確保に配慮する。
A,本システムは、一時的な停止により社会的に大きな社会的混乱を引き起こすものではない。
A,障害時には72時間以内の復旧を目標とする。
A,大規模災害におけるシステム停止時には、システム運用者と相談の上、1週間以内の復旧を行う。
A,緊急性の高い開発であるから、端末の機種変更時のデータの引継ぎは考慮しないこととする
SE,AGFの示すプライバシー保護の方針を遵守する。
SE,また、別途「接触確認アプリに関する有識者検討会合」で定める個人情報保護に関する留意事項を遵守する。
SE,「政府機関等の情報セキュリティ対策のための統一基準」に準拠してセキュリティ対策を進める。
SE,また、別途「接触確認アプリに関する有識者検討会合」で定める情報セキュリティに関する留意事項を遵守する。
SE,アプリのセキュリティ機能は、スマホのOSによって標準機能として提供される機能を最大限活用する。
SE,システム導入時には脆弱性検査を実施する。
SE,個人を特定する情報を持たないが、厚生労働省が通知サーバーを管理し、公衆衛生に用いられる情報であるので、国内のリージョンとする。
O,通知サーバーの運用は、自動化することを可能とする。
O,異常発生時にはオペレータにメッセージが届くなどの工夫を行う。
O,メッセージには、ユーザーからの問い合わせのメッセージも含むこととする。
O,問い合わせに対応するため、FAQを整備する等の利用者への支援体制を用意する。
O,アプリ利用規約、同意事項等の内容については、別途「接触確認アプリに関する有識者検討会合」で定める留意事項を遵守し、必要なものに関しては明示的にユーザーに伝わるような手段でコミュニケーションする。
MN,サーバーに機能追加するなど保守を行う場合には、信頼性、継続性に配慮するとともに、サーバーの停止時間ができるだけ短期になるよう配慮する。ただし、緊急を要するメンテナンスの場合はその限りではない。
