F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,A_C,feature
0,0,0,0,0,0,0,0,0,0,1,0,0,本アプリでは、個人のプライバシーに配慮し、名前、性別、住所、生年月日、位置情報、電話番号、メールアドレス等の特定の個人が直接識別される可能性のある情報は取得しない。
0,0,0,0,0,0,0,0,0,0,1,0,0,アプリと通知サーバーは、情報漏洩や侵入を防ぐために十分なセキュリティ上の措置を講じる。
0,0,0,0,0,1,0,0,0,0,0,0,0,クラウドサービスを使って整備される。
0,0,0,0,0,0,0,0,0,0,0,1,0,本アプリは、操作する部分が少ないが、プライバシーなどの同意事項が多いのが特徴である。
0,0,0,0,0,0,0,0,0,0,0,1,0,アプリケーションは、誰でも直感的に操作できるよう、構築する。
0,0,0,0,1,0,0,0,0,0,0,0,0,利用者が分かりやすい文章や図で説明するとともに、誤操作時に適切なガイダンスが出せる設計に配慮する。
0,0,0,0,1,0,0,0,0,0,0,0,0,また、本アプリを初めて起動する際に、感染症対策全体の仕組みの中でのアプリの位置づけ、本アプリの仕組み及びプライバシー情報の取扱い等の事項について、視覚的に理解しやすい方法で概要を表示すること。
0,0,0,0,0,0,0,0,0,0,0,1,0,スマートフォンが持つ基本的操作性に可能な限り準拠する
0,0,0,0,0,0,0,0,0,0,0,1,0,日本語に加え、英語の画面を整備し、iOS又はAndroid端末のOSの言語切替機能で選択可能にする。
0,0,0,0,0,0,0,0,0,0,0,1,0,未成年者及び成年被後見人など自ら登録の判断を行うことが困難なユーザーのための代理登録を可能にする。
0,0,0,0,0,0,0,0,0,1,0,0,0,システムは、その他のクラウドサービスを活用する。
0,0,0,0,0,0,0,0,0,1,0,0,0,端末は、iPhoneまたはAndroid端末を対象とする。
0,0,0,0,0,0,0,0,0,1,0,0,0,OSは、Exposure Notification APIに対応したiOSおよびAndroidを対象とする。
0,0,0,0,0,0,0,0,0,1,0,0,0,スマートフォンの国民の個人保有率が64.7％であるので、最大で国民の６割以上が導入することを目指す想定で基盤等の拡張性を確保する。
0,0,0,0,0,0,0,0,0,1,0,0,0,端末は、最大で過去14日分の接触に関するデータを蓄積する。
0,0,0,0,0,0,0,0,0,1,0,0,0,サーバーには、陽性者の最大14日分の日次キーが端末から提供される。
0,0,0,0,0,0,0,0,0,1,0,0,0,１週間単位での新規陽性者数が最大4200人とする。
0,0,0,0,0,0,0,1,0,0,0,0,0,端末の応答は3秒以内とする。
0,0,0,0,0,0,0,1,0,0,0,0,0,全ての端末で陽性者の日次キー等の取得をする時には、コンテンツデリバリーネットワーク等を活用し、通信回線の輻輳を避けるとともに、効率的にすべての端末がデータを取得できるようにする。
