F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,A_C,feature
0,0,0,0,0,0,1,0,0,0,0,0,0,ウェブサイトは、MSN TV2と完全に連動している必要がある。
0,0,1,0,0,0,0,0,0,0,0,0,0,本システムは、ディスクで発生する障害に対して、要求されたサービスを維持するため、単一冗長、多重冗長によるディスクの冗長化を行う。冗長化の具体的構成については、別紙に示す。
0,0,0,0,0,0,0,0,0,1,0,0,0,個人情報のセキュリティは、データベースサーバーがSDMSの範囲外で定義される。
0,1,0,0,0,0,0,0,0,0,0,0,0,OCR関連サーバ機器等の事業者導入機器を含む、ハードウェア障害時の復旧時間は、一次切分け後、4時間以内とする。
1,0,0,0,0,0,0,0,0,0,0,0,1,プログラム管理者と看護スタッフは、1人の学生をコーホートに追加できること。
0,0,0,0,0,0,0,1,0,0,0,0,0,本製品は、1秒ごとにメッセージをポーリングしなければならない。本製品は、最大1秒ごとに新しいメッセージについてシステムをポーリングする。
0,0,0,0,0,0,0,0,0,0,0,1,0,従業員は、数分で本製品を使いこなすことができること。本製品において、製品の使用の15分以内で、ユーザは会議の定や会議室の予約ができるようになること。
1,0,0,0,0,0,0,0,0,0,0,0,1,プログラム管理者と看護スタッフは、開始月と年を指定して新しいコーホートをシステムに追加できること。
0,0,0,0,0,0,0,0,0,0,1,0,1,システムには様々なタイプのユーザーが存在し、各ユーザーにはアクセス制限があること。
0,0,0,0,0,0,1,0,1,0,0,0,0,本製品は、データベース管理システム（DBMS）との連携が必要である。DBMSは、製品と同じマシン上にあっても、同じコンピュータネットワーク上にある別のマシン上にあっても動作すること。
0,1,0,0,0,0,0,0,0,0,0,0,0,すべての動画がいつでもオンデマンドで配信されること。
0,0,0,0,0,0,0,0,0,0,1,0,0,本製品は、監査機能を備えなければならない。本製品は、監査およびトランザクションの追跡を目的として、メッセージを最低1年間保存すること。
0,0,0,0,0,1,0,0,0,0,0,0,0,本製品は、アップグレードによる変更または新しいリソースの追加中も稼働を継続しなければならない。本製品は、新しいリソースの追加があっても、サービスの中断なく、稼働し続けることができるものとする。
0,0,0,0,0,1,0,0,0,0,0,0,0,ＨＷ/ＳＷ/ＮＷ保守は、システム運用・保守統括者からの対応指示に従い、対応処理（ネットワーク遮断等）を実施する。システム運用・保守統括者は、対応処理の管理及びシステム管理部門への対応結果報告を実施する。ＡＰ保守は、対応処理を支援し、サーバ切替等発生した場合には動作確認を実施する。
0,0,0,0,0,0,0,0,0,0,1,0,1,権限のないユーザは何も変更を加えることなく、データを読むことだけができること。
0,0,0,0,0,0,1,0,0,0,0,0,0,Oracle DB2 MySqlやHSQLのようなデータベース管理システムを、本製品と統合する必要がある。
0,0,0,0,0,0,0,0,0,1,0,0,0,ハードウェアリソースの拡張性については、「表4.6-1 ハードウェア拡張性等要件」に示す使用率及び拡張性を目安にするものとする。CPU 処理能力の拡張性については、初期導入時の1.5 倍以上4 倍以下とすること。
0,0,0,0,1,0,0,0,0,0,0,0,0,本システムのインタフェースはCCRの命名法を使用する。本システムは、既存のWCSシステムやレポートで使用されているのと同じ命名法を使用しなければならない。
1,0,0,0,1,0,0,0,0,0,0,0,0,本システムにおいて、入力した検索条件を満たすすべての異議申し立て案件のリストをユーザに提供する必要がある。案件のリストでは、案件の種類やステータスを色分けして表示する必要がある。例えば、未解決の案件はすべて黄色、解決済みの案件はすべて灰色となる。
0,0,0,0,0,1,0,0,0,0,0,0,0,ＡＰ保守は、RSシステムサーバ及び文書管理用クライアント端末のログファイルを各々のローカルディスクで管理し、ディスク容量圧迫時等にDVDに保管する。
0,0,0,0,0,0,0,0,0,1,0,0,0,システムは、HTTPS 通信を利用し、データの機密性を確保すること。
0,0,1,0,0,0,1,0,0,0,0,0,0,本システムは、業務データを自動的にバックアップし、必要に応じて復元することができること。
0,0,0,0,0,1,1,0,0,0,0,0,0,本製品は、2日以内にあらゆる動作環境に設置可能であること。
0,0,0,0,0,0,0,0,1,0,0,0,0,移行プログラムによる大量データの移行処理時に異常終了等が発生した場合の手戻りを最小限に止めることを目的として、ジョブの異常終了が発生した場合には、可能な限り異常終了箇所からの再開が可能な設計とすること。
0,0,0,0,0,1,0,0,0,0,0,0,0,ＡＰ保守は、ＭＰＮ国庫金接続試験に係る試験データ作成、試験環境構築及び試験対応を実施する。
0,0,0,0,0,0,0,0,0,1,0,0,0,"本サーバーは、最大1,000人の同時接続ユーザーをサポートする。"
1,0,0,0,0,0,0,0,0,0,0,0,0,非臨床のクラスは、コース名、講義室の要求と講師のニーズを明記する。
0,0,0,0,0,0,0,1,0,0,0,0,1,本システムは、管理者が1分以内に顧客のアカウントを無効にできること。これにより、顧客はウェブサイトにアクセスすることができなくなる。
0,0,0,0,0,0,0,0,0,0,1,0,1,データベース内の顧客レコードにアクセスできるのは、許可された担当者のみとする。
0,0,0,0,0,1,0,0,0,0,0,0,0,AP保守は、RS-B・キー変更情報データの削除に係る更新及び確認用のSQL文を作成し、RSシステム検証サーバにて検証する。その後、該当する労働局のRSシステムサーバにてデータ更新作業を実施する。更新後、動作確認を実施する。
1,0,0,0,0,0,0,0,0,0,0,0,0,リード洗浄機能は、エンタープライズシステムから返された潜在的なリードの重複を保存すること。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムには、スタッフ、学生、講義担当者、臨床検査担当者、臨床現場管理者など、本システムに関連するすべての人の連絡先（電子メールおよび電話番号）が記載されていること。
