label,feature
PE,システムは60秒ごとにディスプレイの表示を更新する。
LF,アプリケーションは、国土安全保障省によって定められた配色設計の方針に準拠して、配色を決定すること。
US,投影する場合、データは読み取り可能にすること。 10x10の投影スクリーンにおいて、視聴者の90％が30の視聴距離からイベントまたはアクティビティのデータを読み取ることができること。
A,本製品は、通常の営業時間内に利用可能であること。ユーザがクライアントPCにアクセスできる限り、運用開始から6か月の99％利用可能とすること。
US,投影する場合、イベントまたはアクティビティのデータは理解できるものでなければならない。10x10の投影スクリーンでは、視聴者の90％が、100の視聴距離から、現在の時間にイベントまたはアクティビティが発生していることを判断される必要がある。
SE,本製品は、許可されたユーザのみがアクセスできることを保証する。本製品は、すべてのアクセスの試みに対して、認可されたユーザと認可されていないユーザを区別しなければならない。
US,本製品は、特別な説明を必要とせず直観的に利用できる必要がある。新規ユーザの90%が、製品を使用してから90分以内にイベントまたはアクティビティの表示を開始でき必要がある。
PE,本製品は、最新のデータをディスプレイに表示するために高速に応答しなければならない。
F,本システムは、グラフとデータテーブルを閲覧するためのMDIフォームを備えるものとする。
F,本システムは、イベントを時間ごとに一覧表で表示する。
F,本システムは、イベントを時間ごとにグラフで表示する。
F,システムは、イベントまたはアクティビティを表示する。
F,ディスプレイは2つの領域に分けて表示する。ディスプレイの左2/3にはグラフィック（図）を表示し、ディスプレイの右1/3にはデータテーブル（表）を表示する。
F,グラフ中のノードとテーブル中の行に表示されるデータは、MSELの要約データである。
F,ディスプレイのテーブル側は、シーケンシャル（順次）表示と、テンポラル（一時的）の2つの領域に分割される。
F,テーブル（表）の上部1/4には、順次発生するイベントが格納される。
F,テーブル（表）の下部3/4には、現在の時刻との関連性に応じて発生するイベントが格納される。
F,本システムは、現在時刻からの変動に応じてイベントを色分けする。
F,本システムは、Sync Matrix 1.0およびExercise Management Tool 1.0アプリケーションのデータを表示する。
F,本システムは、変更のために、イベントをSync Matrix 1.0またはExercise Managment Tool 1.0アプリケーションにリンクし直す。
F,本システムは、表示の変更を可能にする。
F,本システムでは、演習中のすべてのイベントを表示する。
F,本システムは、データを、会場と主要イベントによってフィルタリング（選別）する。
F,本システムでは、ユーザが時間セグメントを定義できる。
F,本システムは、現地時間と運動時間を別々の時計で表示する。
F,本システムは、データの更新の一時停止と、再開の機能を備える。
F,本システムは、アクティビティやイベントの実際の時間と想定される時間のチャート（図）を提示する。
F,本システムは、アクティビティまたはイベントデータに加えられた変更の履歴レポートを提供する。
LF,本システムのルック・アンド・フィールは、スマートデバイスのユーザーインターフェース標準の規格に準拠しなければならない。
LF,ユーザインターフェースには、ナビゲーション用の標準的なメニューボタンを備えなければならない。
LF,本システムは、プロフェッショナルな外観を備えなければならない。
LF,本製品は、一貫した配色設計の方針やフォントを備えている必要がある。
US,本システムは、トレーニングを受けていない不動産業者が使用できなければならない。
US,本システムは、直感的でわかりやすいシステムであること。
US,本システムは、不動産業者が習得しやすい製品であること。
US,本製品には、不動産業者のコミュニティが自然に理解できるような記号や言葉を使用すること。
PE,本製品は、許容範囲内の時間で検索結果を出すこと。
PE,検索結果は、ユーザが検索条件を入力してから30秒以内に返されること。
PE,本製品は、許容できる時間内にCMAレポートを生成すること。
PE,CMAレポートは、ユーザがCMAレポートの基準を入力してから60秒以内に返却されること。
PE,本製品は、連絡先や予定を許容範囲内の時間で同期すること。
PE,本製品は、1時間ごとにオフィスのシステムと同期すること。
A,本製品は、1年365日、24時間使用可能であること。
A,1000回のアクセスのうち、999回はシステムを利用できること。
FT,本製品は、インターネットに接続できない場合には、オフラインモードで動作すること。
FT,本製品は、過去にダウンロードした検索結果のCMAレポートやアポイントメントを閲覧できること。
FT,本製品は、障害が発生してもユーザの設定を保持すること。
FT,システムがオンラインになると、保存されたユーザ設定が100％復元されること。
SC,本製品は、複数のリモートのユーザに対応できる製品であること。
SC,本製品は、1000人の同時ユーザをサポートできること。
SC,本製品は、既存の1000人のユーザに対応できるものであること。本人数は、今後1年以内に5倍に増えると予想される。
US,本製品は、訓練を受けていない不動産業者が、別途印刷された説明書に頼らずに、インストールできること。
US,トレーニングを受けていない不動産業者の90％が、印刷された説明書なしで、自分のデバイスに製品をインストールできること。
PO,本製品は、Windows CEとPalmのOS上で動作すること。
SE,登録された不動産業者のみが、本システムにアクセスできること。
SE,本システムのすべてのユーザは、認証され、許可されなければならない。
SE,本製品は、誤ったデータが持ち込まれることを防止しなければならない。
F,本システムは、不動産業者がMLSの情報を照会可能にすること。
F,ユーザは、選択した物件までの道順を取得できること。
F,ユーザは、顧客の予定や連絡先情報をダウンロードできること。
F,本システムは、検索結果において、鮮明な物件画像を表示すること。
F,本システムは、MLSの物件リストを更新または新規作成すること。
F,不動産業者は、物件の条件に基づいてCMAレポートを作成できること。
F,本システムでは、アポイントメントを取るために売り手または買い手に電話をかけることができること。
F,オフィスシステムとの自動同期後、不動産業者に新規顧客のアポイントメントを通知すること。
F,不動産業者が、指定したエリアの物件位置を示す地図を検索できること。
F,本システムは、売主または買主がアポイントメントリクエストに応じた場合、不動産業者に通知すること。
F,本製品は、ユーザが物件検索結果を保存できようにすること。
US,本システムは、プログラム管理者／看護職員が使いやすいこと。
US,1日のトレーニングで、すべてのユーザがシステムを使えるようになること。
LF,本アプリケーションは、内部および外部で使用されるアプリケーションのユーザインタフェース作成のための企業標準に準拠しなければならない。　
LF,本アプリケーションの一部として作成されたすべての画面は、インターフェイス作成に関する企業の標準に準拠する必要がある。
US,本アプリケーションにおいて検索を実行した後に表示される異議申し立てのリストは、異議申し立ての案件を容易に識別できるように色分けされている必要がある。
US,2日間のトレーニングコースを受けた後、カード会員および加盟店サービス担当者の100％が、異議申し立て管理アプリケーションを定期的に使用できるようになること。
US,カード会員サービス担当者の100%が、トレーニングコース完了後の初めての段階で異議申し立て案件の作成に成功できること。
US,加盟店のサービス担当者の100％が、トレーニングコース完了後の最初の段階で異議申し立て案件に対するフォローアップアクションを成功できること。
PE,本アプリケーション内でユーザが1つの画面から別の画面に移動するための最大待機時間は、5秒以内とする。
PE,本アプリケーションは、アプリケーションのパフォーマンスを低下させることなく、350人の同時ユーザをサポートしなければならない。
O,本アプリケーションは、次の定期メンテナンス期間を除いて、24時間365日無休で利用できなければならない。月曜日土曜日3:00 amから4:00 amEST日曜日1:00 amdから5:00 am EST
O,本アプリケーションは、ステートメント・データベースと整合性をとらなければならない。ステートメント・データベースは、取引の詳細を異議申し立て管理システムに提供する。すべてのトランザクションの詳細は、ステートメントデータベースから取得する必要がある。
O,本アプリケーションは、カード会員情報データベースと連携しなければならない。カード会員情報データベースは、カード会員に関する詳細情報を提供しする。すべてのカード会員の詳細情報は、カード会員情報データベースから取得する必要がある。
