label,feature
PE,0.0,システムは60秒ごとにディスプレイの表示を更新する。
LF,0.0,アプリケーションは、国土安全保障省によって定められた配色設計の方針に準拠して、配色を決定すること。
US,0.0,投影する場合、データは読み取り可能にすること。 10x10の投影スクリーンにおいて、視聴者の90％が30の視聴距離からイベントまたはアクティビティのデータを読み取ることができること。
A,0.0,本製品は、通常の営業時間内に利用可能であること。ユーザがクライアントPCにアクセスできる限り、運用開始から6か月の99％利用可能とすること。
US,0.0,投影する場合、イベントまたはアクティビティのデータは理解できるものでなければならない。10x10の投影スクリーンでは、視聴者の90％が、100の視聴距離から、現在の時間にイベントまたはアクティビティが発生していることを判断される必要がある。
SE,1.0,本製品は、許可されたユーザのみがアクセスできることを保証する。本製品は、すべてのアクセスの試みに対して、認可されたユーザと認可されていないユーザを区別しなければならない。
US,0.0,本製品は、特別な説明を必要とせず直観的に利用できる必要がある。新規ユーザの90%が、製品を使用してから90分以内にイベントまたはアクティビティの表示を開始でき必要がある。
PE,0.0,本製品は、最新のデータをディスプレイに表示するために高速に応答しなければならない。
LF,0.0,本システムのルック・アンド・フィールは、スマートデバイスのユーザーインターフェース標準の規格に準拠しなければならない。
LF,0.0,ユーザインターフェースには、ナビゲーション用の標準的なメニューボタンを備えなければならない。
LF,0.0,本システムは、プロフェッショナルな外観を備えなければならない。
LF,0.0,本製品は、一貫した配色設計の方針やフォントを備えている必要がある。
US,0.0,本システムは、トレーニングを受けていない不動産業者が使用できなければならない。
US,0.0,本システムは、直感的でわかりやすいシステムであること。
US,0.0,本システムは、不動産業者が習得しやすい製品であること。
US,0.0,本製品には、不動産業者のコミュニティが自然に理解できるような記号や言葉を使用すること。
PE,0.0,本製品は、許容範囲内の時間で検索結果を出すこと。
PE,0.0,検索結果は、ユーザが検索条件を入力してから30秒以内に返されること。
PE,0.0,本製品は、許容できる時間内にCMAレポートを生成すること。
PE,0.0,CMAレポートは、ユーザがCMAレポートの基準を入力してから60秒以内に返却されること。
PE,0.0,本製品は、連絡先や予定を許容範囲内の時間で同期すること。
PE,0.0,本製品は、1時間ごとにオフィスのシステムと同期すること。
A,0.0,本製品は、1年365日、24時間使用可能であること。
A,0.0,1000回のアクセスのうち、999回はシステムを利用できること。
FT,0.0,本製品は、インターネットに接続できない場合には、オフラインモードで動作すること。
FT,0.0,本製品は、過去にダウンロードした検索結果のCMAレポートやアポイントメントを閲覧できること。
FT,0.0,本製品は、障害が発生してもユーザの設定を保持すること。
FT,0.0,システムがオンラインになると、保存されたユーザ設定が100％復元されること。
SC,0.0,本製品は、複数のリモートのユーザに対応できる製品であること。
SC,0.0,本製品は、1000人の同時ユーザをサポートできること。
SC,0.0,本製品は、既存の1000人のユーザに対応できるものであること。本人数は、今後1年以内に5倍に増えると予想される。
US,0.0,本製品は、訓練を受けていない不動産業者が、別途印刷された説明書に頼らずに、インストールできること。
US,0.0,トレーニングを受けていない不動産業者の90％が、印刷された説明書なしで、自分のデバイスに製品をインストールできること。
PO,0.0,本製品は、Windows CEとPalmのOS上で動作すること。
SE,1.0,登録された不動産業者のみが、本システムにアクセスできること。
SE,1.0,本システムのすべてのユーザは、認証され、許可されなければならない。
SE,1.0,本製品は、誤ったデータが持ち込まれることを防止しなければならない。
US,0.0,本システムは、プログラム管理者／看護職員が使いやすいこと。
US,0.0,1日のトレーニングで、すべてのユーザがシステムを使えるようになること。
US,0.0,本システムは、看護学生の授業や臨床のスケジュールを立てる際に、ユーザがミスをしないようにサポートする。
US,0.0,生徒が指摘したミスの数を1年目に50％減少させること。
US,0.0,プログラム管理者／看護スタッフが直感的に操作できるシステムであること。
US,0.0,3人中2人のプログラム管理者/看護スタッフが、システムを使って授業や臨床のスケジュールを管理できるようになること。
US,0.0,本システムでは、ユーザコミュニティが自然に理解できる記号や単語を使用すること。
US,0.0,システム内で使用される用語は、標準的な英語および国内の看護コミュニティの用語と一致するものとする。
PE,0.0,スタッフは、一連のタスクをタイムリーにこなすことができること。
PE,0.0,一般的な学生管理タスクの応答時間は5秒以下、スケジュール生成の応答時間は30秒以下であること。
A,0.0,本システムは、午前8時から午後6時までの間に使用できること。
A,0.0,本システムは95％の稼働時間を達成すること。
SC,0.0,システムは、営業時間中のすべてのユーザのリクエスト、または使用法に対応できること。
SC,0.0,本システムは、午前9時から午後5時まで10人の同時ユーザに対応すること。
SC,0.0,本システムは、今後10年間、100％の看護学生とその授業を処理できるシステムであること。
SC,0.0,本システムは、最低でも5年間分の看護プログラムのカリキュラムと授業・臨床のスケジュールを管理できること。
O,0.0,本システムは、DePaul大学の看護学部の典型的なビジネスオフィス環境で動作することができること。
O,0.0,本システムは、プログラム管理者・看護職員が使用するコンピュータで定められた仕様の範囲内で使用されること。
O,0.0,本システムは、Windows XP Professional オペレーティングシステム内で動作すること。
O,0.0,本システムは、CampusConnectsのセントラルサーバと整合性を保つこと。
O,0.0,本システムは。教員用セントラルサーバと整合性を保つこと。
O,0.0,本システムは、学生マスターサーバとの整合性を保つこと。
O,0.0,どのようなHTMLブラウザでも対応できるようにすること。
SE,1.0,承認されたユーザのみが臨床現場の情報にアクセスできること。
SE,1.0,臨床現場の詳細にアクセスできるのは、プログラム管理者／看護スタッフのみとする。
SE,1.0,承認されたユーザのみが学生の個人情報にアクセスできるものとする。
SE,1.0,学生の個人情報にアクセスできるのは、Susan Poslusny博士とJulie Donalek博士だけとする。
SE,1.0,許可されたユーザのみが、CampusConnect とのインタフェースとなるシステムの部分にアクセスできるものとする。
SE,1.0,適用基準: Dr Susan PoslusnyとKaren Sysolのみが、CampusConnectとのインターフェイスとなるシステムの最終的なクラスセクションのスケジューリングにアクセスできること。
