label,feature
PE,合計リードサイクルタイムは、営業時間内（米国中部標準時の午前8時から午後8時まで）にリードボリュームの90％を占める場合は5分、営業時間外にリードボリュームの99％を占める場合は3分で完了しなければならない。
PE,処理されたリードタイムの97％において、25秒以上の時間でリードタイムの評価が完了することはない。
PE,25秒以上経過したリードタイムの場合、本システムはそのイベントと時間を記録する。
PE,本プロセスは、全ライフサイクルのうちリードタイムが3分以内に割り当てられる自動担当者割り当てプロセスで定められた処理時間の条件に適合する必要がある。
O,リード洗浄プロセスは、確立された物理的なウェブサービス構造ないで動作する。
O,洗浄プロセスでは、リードデータを受信して処理する際に、xmlのような拘束力のない中立的なデータフォーマットを使用する必要がある。
A,欠陥レポートは、24時間365日、技術部門が利用できる。
MN,洗浄パラメータは、定期メンテナンス時間中に更新される。
F,ベンダーは無効なリードを確認する。
F,ベンダーは、企業の請求システムに適用される信用検証レコードを提出する。
F,リードが高範囲でスコアリングされると、本システムはリードデータとスコアをエンタープライズシステムに提供する。
F,リード洗浄機能は、Webサービスが受信したすべてのリードの有効なデータを検証する。
F,リード洗浄機能は、Webサービスによってキャプチャされたすべてのリードを挿入する。
F,リードスコアが高い平均スコア内にある場合は、ARA機能によって処理される。
F,リードスコアが中程度の平均の範囲内にある場合は、eleadsシステムを介して、登録コーディネータにより、手動で検証するように設定される。
F,リードスコアが低い平均内にある場合、それは供給ベンダーに返却される。
F,リード洗浄機能は、連絡先とアカデミックスコアの両方の情報をまとめて合計スコアを算出する。
F,リード洗浄機能は、企業や学校から提供されたパラメータを使用して、リードの一部をスコアリングします。
F,リード洗浄機能は、拒否の理由とともにベンダーに提供されたリードデータを返却する。
F,リード洗浄機能には、リードデータパラメータを保守できるインタフェースを備える。
F,リード洗浄機能は、ユーザの認証とパラメータの更新を行う権利を確認する。
F,リード洗浄機能は、エンタープライズシステムから返された潜在的なリードの重複を保存すること。
F,リードをエンタープライズシステムに送信する前に、リード洗浄機能によってリードが入場担当者に割り当ること。
F,リード洗浄機能は、エンタープライズシステムから利用可能な担当者の期間リストを受け取ること。
